Daphne_Koller	sem foto	Daphne Koller (27 de agosto de 1968) é uma cientista da computação israelense-estadunidense, professora do Departamento de Ciência da Computação da Universidade Stanford.1 É uma dos fundadores do Coursera, uma plataforma educacional online. Sua área de pesquisa geral é inteligência artificial23 e suas aplicações em ciências biomédicas.4 Foi destaque em um artigo de 2004 do MIT Technology Review intitulado 10 Emerging Technologies That Will Change Your World,5 referente ao tópico de aprendizado de máquina bayesiano.6		|Nascidos em 1968|Membros da Academia Nacional de Engenharia dos Estados Unidos|Membros da Academia de Artes e Ciências dos Estados Unidos|Pesquisadores da inteligência artificial|Roboticistas dos Estados Unidos|Professores da Escola de Engenharia da Universidade Stanford|Mulheres cientistas da computação|Mulheres estatísticas|Alunos da Universidade Stanford|Bolsistas MacArthur|Judeus dos Estados Unidos|Naturais de Jerusalém|	
Dorit_Aharonov	sem foto	Dorit Aharonov  é uma cientista da computação israelense, especialista em computação quântica.		|Nascidos em 1970|Professores visitantes do Instituto de Estudos Avançados de Princeton|Matemáticas|Mulheres cientistas da computação|Cientistas da computação de Israel|Alunos da Universidade Hebraica de Jerusalém|Alunos do Instituto Weizmann|	
Emma_Haruka_Iwao	//upload.wikimedia.org/wikipedia/commons/thumb/6/60/Emma_Haruka_Iwao_in_Morocco.jpg/200px-Emma_Haruka_Iwao_in_Morocco.jpg	Emma Haruka Iwao é uma cientista da computação japonesa e Engenheira de Desenvolvimento Cloud do Google. Em 2019, Haruka Iwao calculou o valor de pi mais preciso do mundo, que incluiu 31,4 trilhões de dígitos. 		|Nascidos em 1986|Matemáticas do Japão|Mulheres cientistas da computação|Cientistas da computação|Recordes Mundiais|Ciência da computação|	
Ã‰va_Tardos	sem foto	Éva Tardos (Budapeste, 1 de outubro de 1957) é uma matemática húngara. É professora da cátedra Jacob Gould Schurman de ciência da computação da Universidade Cornell. Tardos obteve o diploma de matemática em 1981 e um doutorado em 1984 pela Universidade Eötvös Loránd, orientada por András Frank.1 Gábor Tardos é seu irmão mais jovem.2	Húngara	|Nascidos em 1957|Membros da American Mathematical Society|Fellows da ACM|Membros da SIAM|Membros da Academia Nacional de Engenharia dos Estados Unidos|Membros da Academia Nacional de Ciências dos Estados Unidos|Professores da Universidade Cornell|Mulheres cientistas da computação|Mulheres na tecnologia|Cientistas da computação da Hungria|Matemáticos da Hungria|Bolsistas Guggenheim|Naturais de Budapeste|	
Evelyn_Boyd_Granville	sem foto	Evelyn Boyd Granville, nasceu em Washington, D.C. em 1º de maio de 1924. É a segunda mulher negra a receber o doutorado em Matemática, na Universidade Yale, sendo que a primeira foi Euphemia Haynes, em 194312. Começou a trabalhar para a IBM, em 1956, criando para a NASA os softwares dos projetos espaciais Vanguard e Mercury. Professora durante 30 anos, desde 1967, encorajou alunos ao estudo da matemática, antes de se aposentar das salas de aula3. 	 Americana	|Nascidos em 1924|Mulheres cientistas da computação|Mulheres cientistas dos Estados Unidos|Alunos da Universidade Yale|Mulheres na tecnologia|	
Frances_Allen	//upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Allen_mg_2528-c.jpg/200px-Allen_mg_2528-c.jpg	Frances Elizabeth Fran Allen (Nova Iorque, 4 de agosto de 1932) é uma informática estadunidense e pioneira no campo de otimização de compiladores. Suas realizações incluem trabalho influente em compiladores, otimização de códigos e computação paralela. Ela também teve um trabalho de inteligência em linguagens de programação e códigos de segurança para a National Security Agency.12	Estadunidense	|Nascidos em 1932|Prêmio Turing|Membros da Academia Nacional de Engenharia dos Estados Unidos|Membros da Academia de Artes e Ciências dos Estados Unidos|Fellows da ACM|Fellows do Instituto de Engenheiros Eletricistas e Eletrônicos|IBM|Pessoas da IBM|Cientistas da computação dos Estados Unidos|Mulheres cientistas da computação|Alunos da Universidade do Estado de Nova Iorque em Albany|Alunos da Universidade de Michigan|	
Frances_Spence	sem foto	Frances Spence (nascida Frances Bilas; Filadélfia, 2 de março de 1922 – 18 de julho de 2012) foi uma das primeiras programadoras do ENIAC.1		|Nascidos em 1922|Mortos em 2012|Pioneiros da computação|Mulheres cientistas da computação|Matemáticos dos Estados Unidos do século XX|Naturais de Filadélfia (Pensilvânia)|	
Ginni_Rometty	//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Ginni_Rometty_at_the_Fortune_MPW_Summit_in_2011.jpg/200px-Ginni_Rometty_at_the_Fortune_MPW_Summit_in_2011.jpg	Virginia Marie Ginni Rometty (Chicago, 2 de julho de 1957) é uma executiva de negócios estadunidense. É a atual Chairwoman e CEO da IBM, e a primeira mulher a ser líder da companhia.12 Antes de se tornar presidente e CEO, em Janeiro de 2012, esteve nas posições de Vice-Presidente Sênior e Executiva de Vendas, Marketing e Estratégia na International Business Machines (IBM). Foi indicada pela revista Fortune como uma das 50 mulheres mais poderosas dos negócios por oito anos consecutivos, ficando em primeiro lugar em 2012,3 e ela esteve em 15o. lugar na lista de 100 mulheres mais poderosas do mundo da revista Forbes no mesmo ano.4 Foi nomeada para o Time 100 em 20125, e foi incluída na lista das 50 Mais influentes da revista Bloomberg Markets em Setembro de 2012.	Estadunidense	|Nascidos em 1957|Executivos da IBM|Mulheres na engenharia|Mulheres cientistas da computação|Naturais de Chicago|	
Grace_Hopper	//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Commodore_Grace_M._Hopper%2C_USN_%28covered%29.jpg/250px-Commodore_Grace_M._Hopper%2C_USN_%28covered%29.jpg	Grace Murray Hopper (Nova Iorque, 9 de dezembro de 1906 — Condado de Arlington, 1 de janeiro de 1993) foi uma analista de sistemas da Marinha dos Estados Unidos nas décadas de 1940 e 1950 e almirante. Criou a linguagem de programação Flow-Matic, hoje extinta, que serviu como base para a criação do COBOL. Foi também uma das primeiras programadoras do Harvard Mark I1 em 1944.	Estadunidense	|Nascidos em 1906|Mortos em 1992|Medalha Nacional de Tecnologia e Inovação|Inventoras|Pioneiros da computação|Projetistas de linguagens de programação|Programadores dos Estados Unidos|Cientistas dos Estados Unidos|Matemáticos dos Estados Unidos|Mulheres cientistas da computação|Almirantes dos Estados Unidos|Alunos da Universidade Yale|Sepultados no Cemitério Nacional de Arlington|Naturais de Nova Iorque (cidade)|	
Jaime_Teevan	sem foto	Jaime Teevan (nascida em 1976) é uma cientista da computação americana conhecida por sua pesquisa em interação humano-computador e recuperação de informação. Ela é particularmente conhecida por seu trabalho de pesquisas personalizadas. De acordo com Technology Review, Teevan “é uma especialista no uso de dados sobre o conhecimento, as preferências e os hábitos das pessoas para ajudá-las a gerenciar as informações.1		|Nascidos em 1976|Pesquisadores da interação humano-computador|Pessoas em tecnologia de informação|Mulheres cientistas da computação|Empregados da Microsoft|Alunos da Universidade Yale|Alunos do Instituto de Tecnologia de Massachusetts|Professores da Universidade de Washington|	
